0.19,0.00,0.07,0.13,0.00,0.00,0.19,1.00
0.34,0.00,0.00,0.20,0.00,0.00,0.06,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.17,1.00
0.26,0.00,0.00,0.07,0.00,0.00,0.10,1.00
0.15,0.00,0.07,0.20,0.00,0.00,0.13,1.00
0.07,0.00,0.20,0.07,0.07,0.00,0.05,1.00
0.04,0.00,0.07,0.07,0.33,0.07,0.12,1.00
0.65,0.00,0.00,0.00,0.00,0.00,0.11,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.52,1.00
0.03,0.00,0.13,0.00,0.07,0.07,0.02,1.00
0.05,0.00,0.07,0.13,0.00,0.07,0.19,1.00
0.35,0.00,0.00,0.20,0.00,0.00,0.06,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.04,1.00
0.21,0.00,0.00,0.60,0.00,0.00,0.18,0.67
1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
0.06,0.00,0.40,0.00,0.13,0.00,0.01,1.00
0.22,0.00,0.00,0.07,0.00,0.00,0.12,1.00
0.19,0.00,0.07,0.20,0.00,0.00,0.20,1.00
0.00,0.00,0.40,0.07,0.00,0.07,0.12,1.00
0.01,0.00,0.13,0.00,0.07,0.07,0.03,1.00
0.12,0.00,0.20,0.13,0.00,0.00,0.05,1.00
0.00,0.00,0.27,0.33,0.00,0.07,0.16,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.04,1.00
0.14,0.00,0.13,0.20,0.00,0.00,0.02,1.00
0.21,0.00,0.00,0.07,0.00,0.00,0.02,1.00
0.29,0.00,0.00,0.27,0.00,0.00,0.05,1.00
0.16,0.00,0.07,0.07,0.00,0.00,0.92,1.00
0.17,0.00,0.07,0.20,0.00,0.00,0.10,1.00
0.07,0.00,0.07,0.13,0.07,0.00,0.10,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.26,0.67
0.05,0.00,0.13,0.00,0.00,0.07,0.22,1.00
0.07,0.00,0.20,0.33,0.13,0.00,0.16,0.67
0.14,0.00,0.27,0.40,0.00,0.00,0.09,0.67
0.02,0.00,0.00,0.27,0.00,0.07,0.05,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.22,1.00
0.29,0.00,0.00,0.27,0.00,0.00,0.13,1.00
0.06,0.00,0.40,0.00,0.13,0.00,0.01,1.00
0.01,0.00,0.07,0.00,0.00,0.20,0.08,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.04,1.00
0.00,0.00,0.20,0.33,0.00,0.07,0.12,0.67
0.07,0.00,0.40,0.00,0.13,0.00,0.02,1.00
0.14,0.00,0.20,0.40,0.00,0.00,0.16,1.00
0.22,0.00,0.00,0.47,0.00,0.00,0.17,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.11,0.67
