1.00,0.00,0.00,0.00,0.00,0.00,0.91,1.00
0.12,0.00,0.47,0.13,0.00,0.00,0.03,1.00
1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
0.04,0.00,0.00,0.33,0.07,0.07,0.18,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.33,1.00
0.15,0.00,0.13,0.27,0.00,0.00,0.01,1.00
0.39,0.00,0.00,0.13,0.00,0.00,0.22,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.28,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.02,0.67
0.42,0.00,0.00,0.13,0.00,0.00,0.23,1.00
0.04,0.00,0.13,0.33,0.00,0.07,0.04,0.67
0.20,0.00,0.00,0.27,0.00,0.00,0.07,1.00
0.16,0.00,0.13,0.13,0.00,0.00,0.07,1.00
0.32,0.00,0.00,0.13,0.00,0.00,0.22,1.00
0.39,0.00,0.00,0.07,0.00,0.00,0.37,0.67
0.22,0.00,0.00,0.27,0.00,0.00,0.01,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.04,1.00
0.23,0.00,0.00,0.27,0.00,0.00,0.22,1.00
0.61,0.00,0.00,0.00,0.00,0.00,0.09,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.12,1.00
0.39,0.00,0.00,0.07,0.00,0.00,0.20,1.00
0.13,0.00,0.20,0.07,0.00,0.00,0.05,1.00
0.22,0.00,0.00,0.40,0.00,0.00,0.22,1.00
0.42,0.00,0.00,0.20,0.00,0.00,0.03,1.00
0.30,0.00,0.00,0.40,0.00,0.00,0.12,1.00
0.18,0.00,0.07,0.20,0.00,0.00,0.09,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.40,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.16,1.00
0.02,0.00,0.13,0.33,0.13,0.20,1.00,0.00
1.00,0.00,0.00,0.00,0.00,0.00,0.04,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.09,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.09,1.00
0.13,0.00,0.13,0.13,0.00,0.00,0.09,1.00
